Date,ICG,SOPC,LCC,LOWT,MRS,CCS,MIER,NM,FBM KLCI,PCI
2015-03-31 00:00:00,12670,149137,772022,47074,92269,106502,73,1058073,1811,154769
2015-06-30 00:00:00,16086,137471,772841,49090,90574,103830,72,1064813,1757,154020
2015-09-30 00:00:00,15756,145183,780142,50824,92737,104109,70,1056658,1652,164632
2015-12-31 00:00:00,17918,159489,787397,52723,95920,106132,64,1064148,1677,161678
2016-03-31 00:00:00,15784,117084,788948,47511,99548,106797,73,1084627,1680,162611
2016-06-30 00:00:00,17687,127293,786323,49096,98496,105594,79,1069003,1651,163474
2016-09-30 00:00:00,15624,126532,788162,49586,101130,106605,74,1067429,1661,174771
2016-12-31 00:00:00,17883,143676,793151,52163,104642,109188,70,1110075,1644,171404
2017-03-31 00:00:00,16408,127528,793685,52945,109592,108933,77,1160954,1702,173330
2017-06-30 00:00:00,17950,128215,793501,49484,111756,108802,81,1175978,1766,174884
2017-09-30 00:00:00,17953,126035,794751,50947,113431,110053,77,1184524,1763,187229
2017-12-31 00:00:00,18725,132892,799510,53485,115535,113093,83,1230829,1754,183258
2018-03-31 00:00:00,16857,121060,802972,52312,119702,114204,91,1258638,1863,184671
2018-06-30 00:00:00,17512,139863,868529,55527,122695,113055,133,1249868,1767,188748
2018-09-30 00:00:00,18973,144005,879758,57952,128076,115763,108,1236772,1799,203831
2018-12-31 00:00:00,19688,128158,882699,62473,129521,117220,97,1262142,1693,198601
2019-03-31 00:00:00,16967,131090,880615,57092,130052,117975,86,1278293,1678,198858
2019-06-30 00:00:00,18838,139709,880203,55485,131934,117321,93,1291613,1655,203386
2019-09-30 00:00:00,18504,133257,883634,56455,137104,118454,84,1290416,1610,218143
2019-12-31 00:00:00,19704,146059,888813,57500,138610,121170,82,1326405,1592,214678
2020-03-31 00:00:00,17778,96089,886922,55107,132750,119550,51,1355344,1455,212257
2020-06-30 00:00:00,17090,61531,,,107046,,90,1433847,1461,203386
